                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.01026,                      1,                      1,                0.90479,             0.00038884,             0.00038884,             0.00038884
                     95,                0.00201,                      1,                      1,                0.90479,             0.00038531,             0.00038531,             0.00038531
                     96,                0.00948,                      1,                      1,                0.90479,             0.00038178,             0.00038178,             0.00038178
                     97,                0.00356,                      1,                      1,                0.90479,             0.00037824,             0.00037824,             0.00037824
                     98,                0.00097,                      1,                      1,                0.90479,             0.00037471,             0.00037471,             0.00037471
                     99,                0.00462,                      1,                      1,                0.90479,             0.00037117,             0.00037117,             0.00037117
                    100,                0.00206,                      1,                      1,                0.90479,             0.00036764,             0.00036764,             0.00036764
                    101,                0.00106,                      1,                      1,                0.90479,              0.0003641,              0.0003641,              0.0003641
                    102,                0.00134,                      1,                      1,                0.90479,             0.00036057,             0.00036057,             0.00036057
                    103,                0.00233,                      1,                      1,                0.90479,             0.00035704,             0.00035704,             0.00035704
                    104,                0.00504,                      1,                      1,                0.90479,              0.0003535,              0.0003535,              0.0003535
                    105,                0.00041,                      1,                      1,                0.90479,             0.00034997,             0.00034997,             0.00034997
                    106,                0.00121,                      1,                      1,                0.90479,             0.00034643,             0.00034643,             0.00034643
                    107,                0.00029,                      1,                      1,                0.90479,              0.0003429,              0.0003429,              0.0003429
                    108,                0.00261,                      1,                      1,                0.90479,             0.00033936,             0.00033936,             0.00033936
                    109,                0.00107,                      1,                      1,                0.90479,             0.00033583,             0.00033583,             0.00033583
                    110,                0.00045,                      1,                      1,                0.90479,              0.0003323,              0.0003323,              0.0003323
                    111,                0.00038,                      1,                      1,                0.90479,             0.00032876,             0.00032876,             0.00032876
                    112,                0.00029,                      1,                      1,                0.90479,             0.00032523,             0.00032523,             0.00032523
                    113,                0.00115,                      1,                      1,                0.90479,             0.00032169,             0.00032169,             0.00032169
                    114,                0.00041,                      1,                      1,                0.90479,             0.00031816,             0.00031816,             0.00031816
                    115,                 0.0028,                      1,                      1,                0.90479,             0.00031462,             0.00031462,             0.00031462
                    116,                0.00048,                      1,                      1,                0.90479,             0.00031109,             0.00031109,             0.00031109
                    117,                0.00055,                      1,                      1,                0.90479,             0.00030756,             0.00030756,             0.00030756
                    118,                0.00122,                      1,                      1,                0.90479,             0.00030402,             0.00030402,             0.00030402
                    119,                0.00503,                      1,                      1,                0.90479,             0.00030049,             0.00030049,             0.00030049
                    120,                0.00034,                      1,                      1,                0.90479,             0.00029695,             0.00029695,             0.00029695
                    121,                0.00072,                      1,                      1,                0.90479,             0.00029342,             0.00029342,             0.00029342
                    122,                0.02204,                      1,                      1,                0.90479,             0.00028988,             0.00028988,             0.00028988
                    123,                0.00025,                      1,                      1,                0.90479,             0.00028635,             0.00028635,             0.00028635
                    124,                0.00296,                      1,                      1,                0.90479,             0.00028282,             0.00028282,             0.00028282
                    125,                0.00105,                      1,                      1,                0.90479,             0.00027928,             0.00027928,             0.00027928
                    126,                 0.0202,                      1,                      1,                0.90479,             0.00027575,             0.00027575,             0.00027575
                    127,                0.00642,                      1,                      1,                0.90479,             0.00027221,             0.00027221,             0.00027221
                    128,                 0.0021,                      1,                      1,                0.90479,             0.00026868,             0.00026868,             0.00026868
                    129,                0.00133,                      1,                      1,                0.90479,             0.00026514,             0.00026514,             0.00026514
                    130,                0.00121,                      1,                      1,                0.90479,             0.00026161,             0.00026161,             0.00026161
                    131,                0.00085,                      1,                      1,                0.90479,             0.00025808,             0.00025808,             0.00025808
                    132,                0.00182,                      1,                      1,                0.90479,             0.00025454,             0.00025454,             0.00025454
                    133,                0.00209,                      1,                      1,                0.90479,             0.00025101,             0.00025101,             0.00025101
                    134,                0.00397,                      1,                      1,                0.90479,             0.00024747,             0.00024747,             0.00024747
                    135,                0.00244,                      1,                      1,                0.90479,             0.00024394,             0.00024394,             0.00024394
                    136,                0.00173,                      1,                      1,                0.90479,              0.0002404,              0.0002404,              0.0002404
                    137,                0.00046,                      1,                      1,                0.90479,             0.00023687,             0.00023687,             0.00023687
                    138,                0.00208,                      1,                      1,                0.90479,             0.00023334,             0.00023334,             0.00023334
                    139,                  0.001,                      1,                      1,                0.90479,              0.0002298,              0.0002298,              0.0002298
                    140,                0.00124,                      1,                      1,                0.90479,             0.00022627,             0.00022627,             0.00022627
                    141,                0.00133,                      1,                      1,                0.90479,             0.00022273,             0.00022273,             0.00022273
                    142,                0.00025,                      1,                      1,                0.90479,              0.0002192,              0.0002192,              0.0002192
                    143,                0.00022,                      1,                      1,                0.90479,             0.00021566,             0.00021566,             0.00021566
                    144,                0.00043,                      1,                      1,                0.90479,             0.00021213,             0.00021213,             0.00021213
                    145,                0.00022,                      1,                      1,                0.90479,              0.0002086,              0.0002086,              0.0002086
                    146,                0.00103,                      1,                      1,                0.90479,             0.00020506,             0.00020506,             0.00020506
                    147,                0.00132,                      1,                      1,                0.90479,             0.00020153,             0.00020153,             0.00020153
                    148,                 0.0002,                      1,                      1,                0.90479,             0.00019799,             0.00019799,             0.00019799
                    149,                0.00266,                      1,                      1,                0.90479,             0.00019446,             0.00019446,             0.00019446
                    150,                0.00272,                      1,                      1,                0.90479,             0.00019092,             0.00019092,             0.00019092
                    151,                0.00098,                      1,                      1,                0.90479,             0.00018739,             0.00018739,             0.00018739
                    152,                0.00014,                      1,                      1,                0.90479,             0.00018385,             0.00018385,             0.00018385
                    153,                0.00123,                      1,                      1,                0.90479,             0.00018032,             0.00018032,             0.00018032
                    154,                0.00083,                      1,                      1,                0.90479,             0.00017679,             0.00017679,             0.00017679
                    155,                0.00065,                      1,                      1,                0.90479,             0.00017325,             0.00017325,             0.00017325
                    156,                0.00043,                      1,                      1,                0.90479,             0.00016972,             0.00016972,             0.00016972
                    157,                0.00106,                      1,                      1,                0.90479,             0.00016618,             0.00016618,             0.00016618
                    158,                 0.0016,                      1,                      1,                0.90479,             0.00016265,             0.00016265,             0.00016265
                    159,                0.00035,                      1,                      1,                0.90479,             0.00015911,             0.00015911,             0.00015911
                    160,                0.00087,                      1,                      1,                0.90479,             0.00015558,             0.00015558,             0.00015558
                    161,                0.00062,                      1,                      1,                0.90479,             0.00015205,             0.00015205,             0.00015205
                    162,                0.00213,                      1,                      1,                0.90479,             0.00014851,             0.00014851,             0.00014851
                    163,                0.00019,                      1,                      1,                0.90479,             0.00014498,             0.00014498,             0.00014498
                    164,                0.00022,                      1,                      1,                0.90479,             0.00014144,             0.00014144,             0.00014144
                    165,                0.00426,                      1,                      1,                0.90479,             0.00013791,             0.00013791,             0.00013791
                    166,                0.00018,                      1,                      1,                0.90479,             0.00013437,             0.00013437,             0.00013437
                    167,                0.00017,                      1,                      1,                0.90479,             0.00013084,             0.00013084,             0.00013084
                    168,                0.00032,                      1,                      1,                0.90479,             0.00012731,             0.00012731,             0.00012731
                    169,                0.00023,                      1,                      1,                0.90479,             0.00012377,             0.00012377,             0.00012377
                    170,                 0.0004,                      1,                      1,                0.90479,             0.00012024,             0.00012024,             0.00012024
                    171,                0.00022,                      1,                      1,                0.90479,              0.0001167,              0.0001167,              0.0001167
                    172,                0.00041,                      1,                      1,                0.90479,             0.00011317,             0.00011317,             0.00011317
                    173,                0.00027,                      1,                      1,                0.90479,             0.00010963,             0.00010963,             0.00010963
                    174,                0.01697,                      1,                      1,                0.90479,              0.0001061,              0.0001061,              0.0001061
                    175,                0.00101,                      1,                      1,                0.90479,             0.00010257,             0.00010257,             0.00010257
                    176,                 0.0005,                      1,                      1,                0.90479,             9.9032e-05,             9.9032e-05,             9.9032e-05
